date,title,amount
2025-01-03,Google One,7.99
2025-01-02,Mp *Centerkeys,79.00
2025-01-01,Pagamento recebido,-70.00
2025-01-01,Pagamento recebido,-10.00
2024-12-23,Netflix.Com,20.90
2024-12-23,Rdsaude Online - Parcela 1/3,53.58
2024-12-22,Pagamento recebido,-22.00
2024-12-22,Pagamento recebido,-170.00
2024-12-14,Ebn*Spotify,27.90
2024-12-13,Elizete Silva Ribeiro,2264.19
2024-12-13,Mercadolivre*Infonylo - Parcela 1/8,11.28
2024-12-13,Pagamento recebido,-27.90
2024-12-12,Posto Realeza,16.00
2024-12-12,Net Pgt*Fatura Claro,103.44
2024-12-12,Claro P*Fatura Claro,50.52
2024-12-12,Pagamento recebido,-2.00
2024-12-12,Aguas Cuiaba*Aguas Igu - Parcela 1/6,21.62
2024-12-12,Conta Vivo,121.29
2024-12-12,Pagamento recebido,-43.00
2024-12-12,Bmb*Energisa - Parcela 1/6,163.62
2024-12-11,Padaria do Moinho,63.25
2024-12-11,Espacolaser.*Espacolas,81.19
2024-12-11,Supermercado Big Lar,59.43
2024-12-11,Uber Uber *Trip Help.U,17.54
2024-12-11,Comper Mt,50.95
2024-12-11,Pague Menos,18.79
2024-12-10,Posto Realeza,16.00
2024-12-09,Espacolaser.*Espacolas,153.47
2024-12-09,Uber* Trip,17.74
2024-12-09,Zig *Dam Gastrobar,97.70
2024-12-09,Zig *Dam Gastrobar,15.00
2024-12-08,Uber* Trip,14.25
2024-12-08,Posto Realeza,16.00
2024-12-08,Sendas Distribuidora S,1078.95
2024-12-08,Uber Uber *Trip Help.U,18.46
2024-12-07,Serra 3 Americas,89.52
2024-12-07,Lojas Americanas,39.96
2024-12-07,Chopp Shelby Quiosque,4.50
2024-12-07,Uber* Trip,16.94
2024-12-07,Planet Park Diversoes,5.00
2024-12-07,Lojas Americanas,89.95
2024-12-07,Uber Uber *Trip Help.U,12.15
2024-12-06,Comper,118.37
2024-12-05,Pagamento recebido,-5802.48
2024-12-04,Bmb*Energisa - Parcela 2/5,220.42
2024-12-04,Aguas Cuiaba*Aguas Igu - Parcela 2/5,21.85
2024-12-04,Drogasil - Parcela 2/3,80.04
2024-12-04,Asteroide Te*Asteroide - Parcela 10/12,130.54
2024-12-04,Ame Comercio - Parcela 11/12,39.65
2024-12-04,Solucao Cosmeticos - Parcela 2/2,33.90
2024-12-04,Lojas Avenida Filial - Parcela 2/2,29.99
2024-12-04,Bmb*Energisa - Parcela 2/3,56.37
2024-12-04,Pg *Prof Ferreto - Parcela 10/12,34.63
2024-12-04,Pg *Resumov - Parcela 8/12,24.82
2024-12-04,Aguas Cuiaba*Aguas Igu - Parcela 2/10,20.89
